English,Tagalog,Cuyunon
happy,masaya,maambeng
insect,insekto,insekto
visitor,bisita,bisita
alone,Nag iisa,mag isara lamang
lonely,Nag iisa,isara lamang
take care,ingat,ingat
be careful,Mag ingat,mag ingat
thrill,kilig,kilig
thrilled,kinikilig,ingkikilig
love,mahal,guegma
hope,Pag asa,pag asa
wish,sana,sana
expected,inaasahan,ing aasahan
breakfast,almusal,omagahan
lunch,tanghalian,igma
snack,meryenda,meryenda
dinner,hapunan,yapon
day,araw,adlaw
night,gabi,gabi
sunny,maaraw,mainit
windy,mahangin,magin
rainy,maulan,mauran
light rain,Ambon,tariti
cloudy,maulap,maulap
typhoon,bagyo,bagyo
earthquake,lindol,lindol
season,panahon,timpo
island,isla,isla
plant,halaman,halaman
tree,puno,puno
mountain,bundok,bulod
hill,burol,bulod
plain,patag,patag
cave,kuweba,kuweba
volcano,bulkan,bulkan
towel,tuwalya,tiwalya
hat,sumbrero,todong
sunglasses,salamin pang araw,salamin sa adlaw
eyeglasses,salamin sa mata,salamin sa mata
mirror,salamin,salamin
handkerchief,panyo,panyo
tissue,tisyu,tisyu
lotion,losyon,losyon
shampoo,siyampu,siyampo
soap,sabon,sabon
clothes,damit,lambong
slippers,tsinelas,tsinelas
shoes,sapatos,sapatos
socks,medyas,medyas
sea,dagat,dagat
ocean,karagatan,karagatan
river,ilog,bangalog
stream,sapa,sapa
port,daungan,pantalan
bay,baybayin,baybayin
cave,kuweba,kuweba
house,bahay,balay
hotel,hotel,hotel
shop,tindahan,tindan
store,tindahan,tindan
market,palengke,palengke
hospital,ospital,ospital
sand,buhangin,buhangin
souvenir,pasalubong,pasalubong
seafood,Pagkaing dagat,pagkaing dagat
animal,hayop,hayop
restroom,banyo,banyo
bathroom,paliguan,pararegusan
swim,langoy,langoy
swimming pool,palanguyan,lalangoyan
plate,plato,plato
spoon,kutsara,kutsara
fork,tinidor,tinidor
cup,baso,baso
knife,kutsilyo,kutsilyo
take out,ipabalot,ipabalot
,,
dine in,kakain,kakaen
kindly,pasuyo,patigayon
favor,pabor,pabor
favorite,paborito,paborito
minute,minuto,minuto
second,segundo,segundo
hour,oras,oras
kilo,kilo,kilo
meter,metro,metro
gram,gramo,gramo
liter,litro,litro
gallon,galon,galon
big,malaki,mabael
small,maliit,mayte
little,kaunti,mayte
Grandmother,Lola,Lola
Grandfather,Lolo,Lolo
Auntie,Tita,Tita
Uncle,Tito,Tito
excuse,makikiraan,makikidalan
thirsty,nauuhaw,nauhaw den
hungry,nagugutom,nakakagetem
taste,lasa,lasa
painful,masakit,masakit
hurts,masakit,masakit
aches,masakit,masakit
sleepy,inaantok,ing pupuyat
done,tapos,tapos
which,alin,aden
those,mga,mga
crowded,masikip,masikip
tight,masikip,maeget
watch,manood,panuod
watching,nanonood,apanuod
soft,malambot,malambot
tender,malambot,malambot
tough,matigas,matigas
tall,matangkad,matas
long,mahaba,malabeg
short,maikli,matagid
milk,gatas,gatas
coffee,kape,kape
juice,dyus,dyus
God,Diyos,Dyos
church,simbahan,simban
clinic,klinika,klinik
pharmacy,botika,botika
medicine,gamot,bulong
place,lugar,lugar
city,lungsod,bayan
province,probinsya,probinsya
right,kanan,kanan
left,kaliwa,kaliwa
up,taas,taas
going up,aakyat,taas
down,baba,baba
going down,bababa,mababa
north,hilaga,hilaga
south,timog,timog
east,silangan,silangan
west,kanluran,kanluran
turn,liko,liko
side,gilid,gilid
stairs,hagdan,hagdan
at,sa,sa
real,totoo,matod
fake,peke,beken batuod
TRUE,tama,tama
wrong,mali,mali
to,sa,sa
from,mula,mula
from,mula,umpisa
dark,madilim,madelem
bright,maliwanag,maliwanag
bright,maliwanag,maaglaw
bright,maliwanag,malinaw
Do,Gawin,bwaten
Did,ginawa,ingbwat
not,hindi,hindi
would,nais,alyagan
won't,ay hindi,Ay hindi
didn't,hindi,hindi
don't,huwag,Endi ren
can,puwede,pwede
you are ugly,ang panget mo,marimo kaw
you are beautiful,ang ganda mo,mapostura kaw
should,dapat,dapat
